Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_6814,V,60069.611358, 7.828, 0.045,1m003,coj
NGC_6814,V,60070.120273, 8.104, 0.053,1m001,tfn
NGC_6814,V,60070.120922, 8.234, 0.056,1m001,tfn
NGC_6814,V,60070.961925, 7.940, 0.046,1m010,cpt
NGC_6814,V,60070.962574, 7.974, 0.045,1m010,cpt
NGC_6814,V,60071.315610, 7.864, 0.033,1m004,lsc
NGC_6814,V,60071.316259, 7.829, 0.032,1m004,lsc
NGC_6814,V,60071.648127, 7.365, 0.128,1m011,coj
NGC_6814,V,60072.126045, 7.648, 0.039,1m014,tfn
NGC_6814,V,60072.126706, 7.712, 0.039,1m014,tfn
NGC_6814,V,60072.786660, 7.569, 0.034,1m011,coj
NGC_6814,V,60072.787321, 7.528, 0.032,1m011,coj
NGC_6814,V,60072.958394, 7.588, 0.044,1m010,cpt
NGC_6814,V,60072.959044, 7.597, 0.044,1m010,cpt
NGC_6814,V,60073.174985, 7.744, 0.037,1m001,tfn
NGC_6814,V,60073.175635, 7.736, 0.038,1m001,tfn
NGC_6814,V,60073.673329, 7.505, 0.038,1m003,coj
NGC_6814,V,60073.673990, 7.577, 0.042,1m003,coj
NGC_6814,V,60075.643122, 7.505, 0.030,1m003,coj
NGC_6814,V,60075.643771, 7.494, 0.030,1m003,coj
NGC_6814,V,60075.783260, 7.473, 0.029,1m003,coj
NGC_6814,V,60075.783922, 7.420, 0.029,1m003,coj
NGC_6814,V,60076.251378, 7.614, 0.054,1m009,lsc
NGC_6814,V,60076.252027, 7.631, 0.053,1m009,lsc
NGC_6814,V,60076.751081, 7.472, 0.026,1m011,coj
NGC_6814,V,60076.751730, 7.446, 0.026,1m011,coj
NGC_6814,V,60077.338191, 7.581, 0.023,1m005,lsc
NGC_6814,V,60077.338829, 7.598, 0.023,1m005,lsc
NGC_6814,V,60078.123703, 7.756, 0.028,1m001,tfn
NGC_6814,V,60078.124352, 7.743, 0.028,1m001,tfn
NGC_6814,V,60078.292942, 7.903, 0.022,1m005,lsc
NGC_6814,V,60078.293591, 7.860, 0.022,1m005,lsc
NGC_6814,V,60079.250400, 7.664, 0.022,1m009,lsc
NGC_6814,V,60079.251038, 7.688, 0.022,1m009,lsc
NGC_6814,V,60079.338126, 7.806, 0.022,1m005,lsc
NGC_6814,V,60079.338776, 7.664, 0.021,1m005,lsc
NGC_6814,V,60079.928550, 7.717, 0.026,1m013,cpt
NGC_6814,V,60079.929199, 7.720, 0.026,1m013,cpt
NGC_6814,V,60080.377488, 7.530, 0.021,1m009,lsc
NGC_6814,V,60080.378137, 7.524, 0.021,1m009,lsc
NGC_6814,V,60080.928259, 7.599, 0.026,1m013,cpt
NGC_6814,V,60080.928902, 7.598, 0.026,1m013,cpt
NGC_6814,V,60081.376099, 7.587, 0.023,1m008,elp
NGC_6814,V,60081.376760, 7.491, 0.023,1m008,elp
NGC_6814,V,60082.284481, 7.672, 0.022,1m005,lsc
NGC_6814,V,60082.285130, 7.669, 0.022,1m005,lsc
NGC_6814,V,60082.419556, 7.696, 0.023,1m004,lsc
NGC_6814,V,60082.420207, 7.701, 0.023,1m004,lsc
NGC_6814,V,60083.115026, 7.598, 0.026,1m001,tfn
NGC_6814,V,60083.115675, 7.609, 0.027,1m001,tfn
NGC_6814,V,60083.567992, 7.364, 0.025,1m003,coj
NGC_6814,V,60083.568642, 7.329, 0.025,1m003,coj
NGC_6814,V,60083.959208, 7.349, 0.024,1m013,cpt
NGC_6814,V,60083.959857, 7.388, 0.024,1m013,cpt
NGC_6814,V,60085.091443, 7.523, 0.035,1m014,tfn
NGC_6814,V,60085.092103, 7.544, 0.035,1m014,tfn
NGC_6814,V,60086.433287, 7.463, 0.023,1m006,elp
NGC_6814,V,60086.433936, 7.510, 0.023,1m006,elp
NGC_6814,V,60086.697546, 7.337, 0.023,1m011,coj
NGC_6814,V,60086.698207, 7.393, 0.023,1m011,coj
NGC_6814,V,60087.202099, 7.394, 0.024,1m009,lsc
NGC_6814,V,60087.202738, 7.482, 0.024,1m009,lsc
NGC_6814,V,60087.926787, 7.416, 0.024,1m013,cpt
NGC_6814,V,60087.927436, 7.388, 0.024,1m013,cpt
NGC_6814,V,60088.252128, 7.008, 0.078,1m009,lsc
NGC_6814,V,60088.252777, 7.242, 0.071,1m009,lsc
NGC_6814,V,60088.424861, 8.366, 0.116,1m006,elp
NGC_6814,V,60090.423280, 7.564, 0.023,1m004,lsc
NGC_6814,V,60090.423918, 7.537, 0.022,1m004,lsc
NGC_6814,V,60091.088694, 7.586, 0.023,1m013,cpt
NGC_6814,V,60091.089343, 7.578, 0.023,1m013,cpt
NGC_6814,V,60091.614270, 8.632, 0.037,1m003,coj
NGC_6814,V,60093.008901, 7.725, 0.026,1m013,cpt
NGC_6814,V,60093.009550, 7.414, 0.024,1m013,cpt
NGC_6814,V,60093.638356, 7.552, 0.029,1m011,coj
NGC_6814,V,60093.639052, 7.610, 0.028,1m011,coj
NGC_6814,V,60094.273059, 7.886, 0.022,1m005,lsc
NGC_6814,V,60094.273709, 7.930, 0.022,1m005,lsc
NGC_6814,V,60095.140457, 8.057, 0.047,1m005,lsc
NGC_6814,V,60095.141106, 7.959, 0.042,1m005,lsc
NGC_6814,V,60096.190789, 8.176, 0.027,1m005,lsc
NGC_6814,V,60096.191438, 8.100, 0.027,1m005,lsc
NGC_6814,V,60096.974005, 8.035, 0.031,1m010,cpt
NGC_6814,V,60096.974654, 7.949, 0.031,1m010,cpt
NGC_6814,V,60098.798994, 7.818, 0.042,1m003,coj
NGC_6814,V,60098.799643, 7.823, 0.043,1m003,coj
NGC_6814,V,60100.127029, 7.835, 0.059,1m009,lsc
NGC_6814,V,60100.127678, 7.967, 0.059,1m009,lsc
NGC_6814,V,60101.126616, 8.361, 0.036,1m012,cpt
NGC_6814,V,60101.127266, 8.436, 0.036,1m012,cpt
NGC_6814,V,60103.127190, 8.575, 0.032,1m009,lsc
NGC_6814,V,60103.127839, 8.539, 0.032,1m009,lsc
NGC_6814,V,60103.217792, 8.605, 0.031,1m004,lsc
NGC_6814,V,60103.218452, 8.560, 0.031,1m004,lsc
NGC_6814,V,60104.332018, 8.716, 0.026,1m004,lsc
NGC_6814,V,60104.332667, 8.778, 0.026,1m004,lsc
NGC_6814,V,60105.292919, 8.513, 0.024,1m005,lsc
NGC_6814,V,60105.293557, 8.720, 0.023,1m005,lsc
NGC_6814,V,60106.335103, 8.348, 0.021,1m009,lsc
NGC_6814,V,60106.335741, 8.341, 0.021,1m009,lsc
NGC_6814,V,60107.377055, 8.302, 0.022,1m005,lsc
NGC_6814,V,60107.377704, 8.314, 0.022,1m005,lsc
NGC_6814,V,60108.431711, 8.294, 0.023,1m009,lsc
NGC_6814,V,60108.432350, 8.366, 0.023,1m009,lsc
NGC_6814,V,60110.196471, 8.298, 0.053,1m014,tfn
NGC_6814,V,60110.197120, 8.449, 0.043,1m014,tfn
NGC_6814,V,60111.045658, 8.328, 0.025,1m013,cpt
NGC_6814,V,60111.046257, 8.307, 0.028,1m013,cpt
NGC_6814,V,60111.136328, 8.314, 0.026,1m001,tfn
NGC_6814,V,60111.136989, 8.377, 0.026,1m001,tfn
NGC_6814,V,60111.555217, 8.192, 0.025,1m011,coj
NGC_6814,V,60111.555889, 8.284, 0.025,1m011,coj
NGC_6814,V,60112.598435, 8.297, 0.048,1m011,coj
NGC_6814,V,60112.599085, 8.356, 0.046,1m011,coj
NGC_6814,V,60113.650124, 8.211, 0.023,1m003,coj
NGC_6814,V,60113.650797, 8.295, 0.023,1m003,coj
NGC_6814,V,60113.696394, 7.723, 0.023,1m003,coj
NGC_6814,V,60113.697044, 7.825, 0.023,1m003,coj
NGC_6814,V,60114.985546, 8.624, 0.031,1m001,tfn
NGC_6814,V,60114.986195, 8.623, 0.031,1m001,tfn
NGC_6814,V,60115.814870, 8.514, 0.028,1m011,coj
NGC_6814,V,60115.815519, 8.673, 0.029,1m011,coj
NGC_6814,V,60117.005640, 8.931, 0.025,1m012,cpt
NGC_6814,V,60117.006301, 8.844, 0.024,1m012,cpt
NGC_6814,V,60117.884638, 8.924, 0.026,1m012,cpt
NGC_6814,V,60117.885299, 8.908, 0.026,1m012,cpt
NGC_6814,V,60118.904596, 8.733, 0.026,1m012,cpt
NGC_6814,V,60118.905246, 8.889, 0.027,1m012,cpt
NGC_6814,V,60119.876006, 9.028, 0.035,1m013,cpt
NGC_6814,V,60119.876655, 8.904, 0.034,1m013,cpt
NGC_6814,V,60120.996771, 8.966, 0.034,1m014,tfn
NGC_6814,V,60120.997803, 8.964, 0.034,1m014,tfn
NGC_6814,V,60121.023018, 8.987, 0.031,1m014,tfn
NGC_6814,V,60121.023748, 9.017, 0.031,1m014,tfn
NGC_6814,r,59818.927265,14.417, 0.031,1m014,tfn
NGC_6814,r,59818.927926,14.294, 0.031,1m014,tfn
NGC_6814,r,59819.032774,14.203, 0.040,1m001,tfn
NGC_6814,r,59819.033423,14.277, 0.040,1m001,tfn
NGC_6814,r,59819.913089,14.527, 0.046,1m012,cpt
NGC_6814,r,59819.913739,14.480, 0.046,1m012,cpt
NGC_6814,r,59819.972991,16.313, 0.051,1m010,cpt
NGC_6814,r,59819.973642,16.176, 0.051,1m010,cpt
NGC_6814,r,59820.917923,14.488, 0.031,1m001,tfn
NGC_6814,r,59820.918572,14.696, 0.031,1m001,tfn
NGC_6814,r,59821.198681,23.288, 0.047,1m009,lsc
NGC_6814,r,59821.199342,23.683, 0.048,1m009,lsc
NGC_6814,r,59821.967303,16.636, 0.064,1m013,cpt
NGC_6814,r,59821.968010,17.286, 0.070,1m013,cpt
NGC_6814,r,59822.598833,14.441, 0.029,1m003,coj
NGC_6814,r,59822.599482,14.399, 0.029,1m003,coj
NGC_6814,r,59823.008224,14.104, 0.030,1m005,lsc
NGC_6814,r,59823.008874,14.156, 0.030,1m005,lsc
NGC_6814,r,59823.962658,14.507, 0.050,1m010,cpt
NGC_6814,r,59823.963307,14.542, 0.050,1m010,cpt
NGC_6814,r,59825.147086,14.163, 0.031,1m004,lsc
NGC_6814,r,59825.147735,14.148, 0.031,1m004,lsc
NGC_6814,r,59825.876247,14.917, 0.047,1m012,cpt
NGC_6814,r,59825.876897,14.947, 0.047,1m012,cpt
NGC_6814,r,59826.158823,14.554, 0.032,1m004,lsc
NGC_6814,r,59826.159474,14.521, 0.032,1m004,lsc
NGC_6814,r,59826.946048,14.484, 0.040,1m001,tfn
NGC_6814,r,59826.946708,14.620, 0.041,1m001,tfn
NGC_6814,r,59826.962520,17.050, 0.253,1m001,tfn
NGC_6814,r,59826.963169,17.163, 0.274,1m001,tfn
NGC_6814,r,59827.475370,14.750, 0.103,1m011,coj
NGC_6814,r,59827.476024,14.356, 0.112,1m011,coj
NGC_6814,r,59827.763798,14.290, 0.083,1m012,cpt
NGC_6814,r,59827.764447,14.388, 0.083,1m012,cpt
NGC_6814,r,59828.022386,14.536, 0.051,1m001,tfn
NGC_6814,r,59828.023035,14.418, 0.050,1m001,tfn
NGC_6814,r,59829.728547,14.821, 0.076,1m013,cpt
NGC_6814,r,59829.729199,14.805, 0.076,1m013,cpt
NGC_6814,r,59829.848462,14.893, 0.081,1m013,cpt
NGC_6814,r,59829.849123,14.932, 0.081,1m013,cpt
NGC_6814,r,59830.135535,16.474, 0.184,1m008,elp
NGC_6814,r,59830.136185,14.575, 0.228,1m008,elp
NGC_6814,r,59830.728877,15.073, 0.067,1m013,cpt
NGC_6814,r,59830.729526,15.206, 0.067,1m013,cpt
NGC_6814,r,59830.824541,15.183, 0.084,1m010,cpt
NGC_6814,r,59830.825202,15.357, 0.091,1m010,cpt
NGC_6814,r,59830.929465,15.228, 0.123,1m012,cpt
NGC_6814,r,59830.930139,14.778, 0.122,1m012,cpt
NGC_6814,r,59831.109480,15.263, 0.056,1m005,lsc
NGC_6814,r,59831.110129,15.252, 0.056,1m005,lsc
NGC_6814,r,59831.785671,15.562, 0.054,1m013,cpt
NGC_6814,r,59831.786320,15.469, 0.054,1m013,cpt
NGC_6814,r,59831.827848,15.422, 0.064,1m012,cpt
NGC_6814,r,59831.828497,15.508, 0.064,1m012,cpt
NGC_6814,r,59832.023843,15.173, 0.077,1m001,tfn
NGC_6814,r,59832.024504,15.089, 0.079,1m001,tfn
NGC_6814,r,59832.231487,14.928, 0.068,1m009,lsc
NGC_6814,r,59832.232137,14.964, 0.068,1m009,lsc
NGC_6814,r,59832.868915,15.610, 0.074,1m010,cpt
NGC_6814,r,59832.869565,15.510, 0.075,1m010,cpt
NGC_6814,r,59832.889197,15.514, 0.074,1m010,cpt
NGC_6814,r,59832.889846,15.729, 0.074,1m010,cpt
NGC_6814,r,59833.124934,15.677, 0.042,1m005,lsc
NGC_6814,r,59833.125586,15.675, 0.042,1m005,lsc
NGC_6814,r,59833.261058,15.684, 0.049,1m008,elp
NGC_6814,r,59833.261696,15.676, 0.049,1m008,elp
NGC_6814,r,59833.581282,15.607, 0.039,1m011,coj
NGC_6814,r,59833.581932,15.519, 0.039,1m011,coj
NGC_6814,r,59833.952223,15.644, 0.045,1m001,tfn
NGC_6814,r,59833.952884,15.609, 0.045,1m001,tfn
NGC_6814,r,59834.118090,15.710, 0.035,1m004,lsc
NGC_6814,r,59834.118739,15.866, 0.036,1m004,lsc
NGC_6814,r,59834.177376,15.715, 0.038,1m005,lsc
NGC_6814,r,59834.178025,15.739, 0.038,1m005,lsc
NGC_6814,r,59834.496613,15.601, 0.034,1m003,coj
NGC_6814,r,59834.497262,15.665, 0.034,1m003,coj
NGC_6814,r,59834.607452,15.600, 0.040,1m003,coj
NGC_6814,r,59834.608113,15.511, 0.040,1m003,coj
NGC_6814,r,59834.869478,14.577, 0.033,1m014,tfn
NGC_6814,r,59834.870127,14.643, 0.033,1m014,tfn
NGC_6814,r,59835.013572,15.474, 0.043,1m001,tfn
NGC_6814,r,59835.014221,15.668, 0.045,1m001,tfn
NGC_6814,r,59835.086543,17.398, 0.035,1m009,lsc
NGC_6814,r,59835.087193,18.088, 0.036,1m009,lsc
NGC_6814,r,59835.409261,15.029, 0.030,1m003,coj
NGC_6814,r,59835.409910,15.122, 0.033,1m003,coj
NGC_6814,r,59835.559103,14.930, 0.032,1m003,coj
NGC_6814,r,59835.559763,15.040, 0.032,1m003,coj
NGC_6814,r,59835.603621,15.455, 0.036,1m003,coj
NGC_6814,r,59835.604271,15.467, 0.037,1m003,coj
NGC_6814,r,59835.919142,15.276, 0.053,1m012,cpt
NGC_6814,r,59835.919779,15.138, 0.053,1m012,cpt
NGC_6814,r,59836.116740,14.845, 0.033,1m004,lsc
NGC_6814,r,59836.117389,14.747, 0.033,1m004,lsc
NGC_6814,r,59836.139250,14.734, 0.033,1m005,lsc
NGC_6814,r,59836.139900,15.333, 0.033,1m005,lsc
NGC_6814,r,59836.798925,14.596, 0.039,1m013,cpt
NGC_6814,r,59836.799574,14.669, 0.039,1m013,cpt
NGC_6814,r,59836.917856,15.077, 0.051,1m012,cpt
NGC_6814,r,59836.918505,15.102, 0.052,1m012,cpt
NGC_6814,r,59837.158725,14.561, 0.030,1m009,lsc
NGC_6814,r,59837.159409,17.146, 0.035,1m009,lsc
NGC_6814,r,59837.746266,15.083, 0.042,1m013,cpt
NGC_6814,r,59837.746915,15.125, 0.042,1m013,cpt
NGC_6814,r,59837.886647,15.302, 0.044,1m013,cpt
NGC_6814,r,59837.887296,15.099, 0.044,1m013,cpt
NGC_6814,r,59838.084478,28.668, 0.061,1m009,lsc
NGC_6814,r,59838.085128,29.072, 0.065,1m009,lsc
NGC_6814,r,59838.164821,15.203, 0.169,1m005,lsc
NGC_6814,r,59838.165470,15.062, 0.149,1m005,lsc
NGC_6814,r,59838.425173,15.485, 0.063,1m003,coj
NGC_6814,r,59838.425822,15.481, 0.077,1m003,coj
NGC_6814,r,59838.564250,15.094, 0.395,1m003,coj
NGC_6814,r,59838.564899,15.021, 0.149,1m003,coj
NGC_6814,r,59838.958562,14.957, 0.032,1m014,tfn
NGC_6814,r,59838.959212,15.368, 0.032,1m014,tfn
NGC_6814,r,59839.219234,15.796, 0.028,1m006,elp
NGC_6814,r,59839.219882,15.745, 0.028,1m006,elp
NGC_6814,r,59840.085595,15.386, 0.028,1m008,elp
NGC_6814,r,59840.086267,15.607, 0.028,1m008,elp
NGC_6814,r,59840.442631,15.609, 0.029,1m003,coj
NGC_6814,r,59840.443281,15.608, 0.029,1m003,coj
NGC_6814,r,59840.592123,15.350, 0.031,1m003,coj
NGC_6814,r,59840.592772,15.581, 0.032,1m003,coj
NGC_6814,r,59840.996144,15.037, 0.032,1m004,lsc
NGC_6814,r,59840.996793,14.912, 0.033,1m004,lsc
NGC_6814,r,59841.118571,15.630, 0.034,1m004,lsc
NGC_6814,r,59841.119221,15.377, 0.033,1m004,lsc
NGC_6814,r,59841.403182,15.438, 0.028,1m003,coj
NGC_6814,r,59841.403832,15.507, 0.028,1m003,coj
NGC_6814,r,59841.556054,15.403, 0.030,1m003,coj
NGC_6814,r,59841.556714,15.393, 0.030,1m003,coj
NGC_6814,r,59841.867987,15.670, 0.046,1m010,cpt
NGC_6814,r,59841.868625,15.695, 0.046,1m010,cpt
NGC_6814,r,59842.066758,16.537, 0.032,1m009,lsc
NGC_6814,r,59842.067408,17.174, 0.033,1m009,lsc
NGC_6814,r,59842.088558,14.898, 0.032,1m004,lsc
NGC_6814,r,59842.167452,14.960, 0.034,1m004,lsc
NGC_6814,r,59842.168101,14.964, 0.036,1m004,lsc
NGC_6814,r,59842.775609,15.268, 0.041,1m013,cpt
NGC_6814,r,59842.776258,15.045, 0.041,1m013,cpt
NGC_6814,r,59842.871972,15.409, 0.043,1m010,cpt
NGC_6814,r,59842.872609,15.455, 0.043,1m010,cpt
NGC_6814,r,59843.133046,15.258, 0.033,1m004,lsc
NGC_6814,r,59843.133684,15.328, 0.033,1m004,lsc
NGC_6814,r,59843.227392,15.537, 0.028,1m008,elp
NGC_6814,r,59843.228041,15.680, 0.028,1m008,elp
NGC_6814,r,59843.875362,15.343, 0.031,1m001,tfn
NGC_6814,r,59843.876023,15.333, 0.031,1m001,tfn
NGC_6814,r,59843.986763,15.020, 0.032,1m014,tfn
NGC_6814,r,59843.987412,15.018, 0.032,1m014,tfn
NGC_6814,r,59844.094426,16.924, 0.040,1m004,lsc
NGC_6814,r,59844.095133,17.900, 0.043,1m004,lsc
NGC_6814,r,59844.895423,15.088, 0.031,1m001,tfn
NGC_6814,r,59844.896072,15.143, 0.031,1m001,tfn
NGC_6814,r,59845.043303,29.996, 0.058,1m009,lsc
NGC_6814,r,59845.043952,25.505, 0.049,1m009,lsc
NGC_6814,r,59845.186712,15.269, 0.028,1m008,elp
NGC_6814,r,59845.187362,15.390, 0.028,1m008,elp
NGC_6814,r,59845.868673,14.835, 0.042,1m010,cpt
NGC_6814,r,59845.869322,14.880, 0.042,1m010,cpt
NGC_6814,r,59845.934634,15.534, 0.053,1m012,cpt
NGC_6814,r,59845.935283,15.183, 0.052,1m012,cpt
NGC_6814,r,59846.122537,14.779, 0.031,1m005,lsc
NGC_6814,r,59846.123186,14.906, 0.031,1m005,lsc
NGC_6814,r,59846.542785,14.161, 0.031,1m011,coj
NGC_6814,r,59846.543445,14.786, 0.035,1m011,coj
NGC_6814,r,59846.901476,14.095, 0.250,1m012,cpt
NGC_6814,r,59847.027259,15.574, 0.041,1m004,lsc
NGC_6814,r,59847.027909,15.611, 0.041,1m004,lsc
NGC_6814,r,59847.180023,14.032, 0.033,1m005,lsc
NGC_6814,r,59847.180673,13.977, 0.033,1m005,lsc
NGC_6814,r,59847.420613,14.282, 0.027,1m003,coj
NGC_6814,r,59847.421262,14.006, 0.027,1m003,coj
NGC_6814,r,59847.576733,14.394, 0.032,1m003,coj
NGC_6814,r,59847.577383,14.315, 0.032,1m003,coj
NGC_6814,r,59848.039823,14.521, 0.028,1m009,lsc
NGC_6814,r,59848.040473,14.515, 0.028,1m009,lsc
NGC_6814,r,59848.144373,14.444, 0.029,1m009,lsc
NGC_6814,r,59848.145022,14.413, 0.029,1m009,lsc
NGC_6814,r,59848.837216,14.544, 0.040,1m013,cpt
NGC_6814,r,59848.837865,14.956, 0.040,1m013,cpt
NGC_6814,r,59849.111706,22.345, 0.045,1m009,lsc
NGC_6814,r,59849.112345,26.013, 0.052,1m009,lsc
NGC_6814,r,59849.234181,14.941, 0.029,1m006,elp
NGC_6814,r,59849.234830,15.000, 0.029,1m006,elp
NGC_6814,r,59850.018800,14.610, 0.032,1m004,lsc
NGC_6814,r,59850.019439,14.721, 0.032,1m004,lsc
NGC_6814,r,59850.173886,14.749, 0.032,1m009,lsc
NGC_6814,r,59850.174535,14.746, 0.032,1m009,lsc
NGC_6814,r,59850.222619,15.158, 0.028,1m006,elp
NGC_6814,r,59850.223268,15.020, 0.028,1m006,elp
NGC_6814,r,59850.741086,14.777, 0.039,1m013,cpt
NGC_6814,r,59850.741737,14.650, 0.039,1m013,cpt
NGC_6814,r,59850.840524,15.303, 0.081,1m012,cpt
NGC_6814,r,59850.841173,15.063, 0.075,1m012,cpt
NGC_6814,r,59851.087702,14.999, 0.031,1m005,lsc
NGC_6814,r,59851.088353,15.132, 0.031,1m005,lsc
NGC_6814,r,59851.175006,14.916, 0.033,1m005,lsc
NGC_6814,r,59851.175655,15.023, 0.033,1m005,lsc
NGC_6814,r,59851.831595,14.063, 0.037,1m001,tfn
NGC_6814,r,59851.832244,14.072, 0.036,1m001,tfn
NGC_6814,r,59851.963560,15.025, 0.103,1m001,tfn
NGC_6814,r,59851.964214,15.080, 0.101,1m001,tfn
NGC_6814,r,59852.059439,14.835, 0.031,1m005,lsc
NGC_6814,r,59852.060076,14.742, 0.031,1m005,lsc
NGC_6814,r,59852.389363,14.497, 0.028,1m011,coj
NGC_6814,r,59852.390012,14.593, 0.028,1m011,coj
NGC_6814,r,59852.738930,14.852, 0.046,1m012,cpt
NGC_6814,r,59852.739568,14.763, 0.046,1m012,cpt
NGC_6814,r,59852.760795,14.800, 0.046,1m012,cpt
NGC_6814,r,59852.761443,14.843, 0.046,1m012,cpt
NGC_6814,r,59853.049393,14.352, 0.031,1m005,lsc
NGC_6814,r,59853.050042,14.602, 0.031,1m005,lsc
NGC_6814,r,59853.219194,14.788, 0.028,1m006,elp
NGC_6814,r,59853.219843,14.808, 0.028,1m006,elp
NGC_6814,r,59853.392846,14.539, 0.029,1m003,coj
NGC_6814,r,59853.393496,14.601, 0.029,1m003,coj
NGC_6814,r,59853.486216,14.535, 0.030,1m003,coj
NGC_6814,r,59853.486877,14.558, 0.030,1m003,coj
NGC_6814,r,59853.757161,14.638, 0.049,1m012,cpt
NGC_6814,r,59853.757811,14.560, 0.049,1m012,cpt
NGC_6814,r,59853.851124,14.720, 0.042,1m013,cpt
NGC_6814,r,59853.851773,14.631, 0.042,1m013,cpt
NGC_6814,r,59854.014147,14.042, 0.031,1m005,lsc
NGC_6814,r,59854.014796,13.970, 0.031,1m005,lsc
NGC_6814,r,59854.217529,14.332, 0.028,1m008,elp
NGC_6814,r,59854.218179,14.403, 0.028,1m008,elp
NGC_6814,r,59854.386966,13.704, 0.030,1m011,coj
NGC_6814,r,59854.387615,13.701, 0.030,1m011,coj
NGC_6814,r,59854.555855,14.131, 0.036,1m011,coj
NGC_6814,r,59854.556504,14.246, 0.036,1m011,coj
NGC_6814,r,59854.757833,14.173, 0.046,1m010,cpt
NGC_6814,r,59854.758482,14.233, 0.046,1m010,cpt
NGC_6814,r,59855.051098,22.551, 0.053,1m009,lsc
NGC_6814,r,59855.051748,22.462, 0.051,1m009,lsc
NGC_6814,r,59855.097478,13.982, 0.034,1m004,lsc
NGC_6814,r,59855.098138,13.890, 0.034,1m004,lsc
NGC_6814,r,59857.070528,14.176, 0.048,1m004,lsc
NGC_6814,r,59857.071177,14.114, 0.048,1m004,lsc
NGC_6814,r,59857.744575,13.797, 0.148,1m013,cpt
NGC_6814,r,59857.745215,13.900, 0.119,1m013,cpt
NGC_6814,r,59857.848767,17.549, 0.105,1m010,cpt
NGC_6814,r,59857.849463,19.853, 0.120,1m010,cpt
NGC_6814,r,59858.077929,14.572, 0.049,1m009,lsc
NGC_6814,r,59858.078578,16.741, 0.055,1m009,lsc
NGC_6814,r,59858.133634,14.357, 0.053,1m005,lsc
NGC_6814,r,59858.134283,14.535, 0.053,1m005,lsc
NGC_6814,r,59858.819118,13.185, 0.256,1m013,cpt
NGC_6814,r,59858.969532,13.499, 0.214,1m001,tfn
NGC_6814,r,59858.970181,13.274, 0.230,1m001,tfn
NGC_6814,r,59859.102210,14.530, 0.052,1m004,lsc
NGC_6814,r,59859.102853,14.397, 0.050,1m004,lsc
NGC_6814,r,59859.742414,14.619, 0.050,1m013,cpt
NGC_6814,r,59859.743063,14.603, 0.050,1m013,cpt
NGC_6814,r,59859.817402,14.490, 0.058,1m013,cpt
NGC_6814,r,59859.818051,14.482, 0.058,1m013,cpt
NGC_6814,r,59859.930840,14.507, 0.057,1m001,tfn
NGC_6814,r,59859.931489,14.439, 0.058,1m001,tfn
NGC_6814,r,59860.816973,23.666, 0.097,1m010,cpt
NGC_6814,r,59860.817622,24.876, 0.103,1m010,cpt
NGC_6814,r,59860.949104,14.024, 0.089,1m014,tfn
NGC_6814,r,59860.949765,14.273, 0.089,1m014,tfn
NGC_6814,r,59861.100823,14.499, 0.040,1m005,lsc
NGC_6814,r,59861.101472,14.495, 0.040,1m005,lsc
NGC_6814,r,59861.472847,14.274, 0.037,1m011,coj
NGC_6814,r,59861.473508,14.316, 0.037,1m011,coj
NGC_6814,r,59861.878735,13.931, 0.130,1m013,cpt
NGC_6814,r,59861.879395,13.956, 0.134,1m013,cpt
NGC_6814,r,59862.060537,14.560, 0.038,1m005,lsc
NGC_6814,r,59862.061186,14.527, 0.038,1m005,lsc
NGC_6814,r,59862.145284,14.386, 0.048,1m005,lsc
NGC_6814,r,59862.145933,14.444, 0.049,1m005,lsc
NGC_6814,r,59862.445368,14.345, 0.032,1m003,coj
NGC_6814,r,59862.446028,14.192, 0.032,1m003,coj
NGC_6814,r,59862.472801,14.395, 0.033,1m011,coj
NGC_6814,r,59862.473461,14.322, 0.033,1m011,coj
NGC_6814,r,59862.823087,14.529, 0.035,1m001,tfn
NGC_6814,r,59862.823748,14.270, 0.035,1m001,tfn
NGC_6814,r,59862.956060,14.462, 0.041,1m014,tfn
NGC_6814,r,59862.956709,14.513, 0.041,1m014,tfn
NGC_6814,r,59863.116960,14.560, 0.040,1m004,lsc
NGC_6814,r,59863.117609,14.542, 0.040,1m004,lsc
NGC_6814,r,59863.494635,14.529, 0.041,1m003,coj
NGC_6814,r,59863.495284,14.536, 0.039,1m003,coj
NGC_6814,r,59864.051998,13.772, 0.031,1m005,lsc
NGC_6814,r,59864.052647,13.889, 0.031,1m005,lsc
NGC_6814,r,59864.192594,14.466, 0.032,1m006,elp
NGC_6814,r,59864.193267,14.062, 0.032,1m006,elp
NGC_6814,r,59864.532958,14.436, 0.039,1m011,coj
NGC_6814,r,59864.533607,14.298, 0.038,1m011,coj
NGC_6814,r,59864.997721,14.012, 0.031,1m005,lsc
NGC_6814,r,59864.998370,14.012, 0.031,1m005,lsc
NGC_6814,r,59865.745771,14.408, 0.043,1m013,cpt
NGC_6814,r,59865.746421,14.440, 0.043,1m013,cpt
NGC_6814,r,59865.823465,14.432, 0.045,1m010,cpt
NGC_6814,r,59865.824138,14.485, 0.045,1m010,cpt
NGC_6814,r,59866.071980,13.891, 0.031,1m004,lsc
NGC_6814,r,59866.072618,13.546, 0.031,1m004,lsc
NGC_6814,r,59866.142857,14.326, 0.029,1m006,elp
NGC_6814,r,59866.143506,14.387, 0.029,1m006,elp
NGC_6814,r,59866.453732,14.450, 0.028,1m003,coj
